9498 unique present genes were clustered into 49 modules. M1-, M2- and TPP-associated modules are highlighted in blue, red and grey, respecitively.																																																	
																																																	
	Modules																																																
2170																																																	
2171																																																	
2172																																																	
2173																																																	
2174																																																	
2175																																																	
2176																																																	
2177																																																	
2178																																																	
2179																																																	
2180																																																	
2181																																																	
2182																																																	
2183																																																	
2184																																																	
2185																																																	
2186																																																	
2187																																																	
2188																																																	
2189																																																	
2190																																																	
2191																																																	
2192																																																	
2193																																																	
2194																																																	
2195																																																	
2196																																																	
2197																																																	
2198																																																	
2199																																																	
2200																																																	
2201																																																	
2202																																																	
2203																																																	
2204																																																	
2205																																																	
2206																																																	
2207																																																	
2208																																																	
2209																																																	
2210																																																	
2211																																																	
2212																																																	
2213																																																	
2214																																																	
2215																																																	
2216																																																	
2217																																																	
2218																																																	
2219																																																	
2220																																																	
2221																																																	
2222																																																	
2223																																																	
2224																																																	
2225																																																	
2226																																																	
2227																																																	
2228																																																	
2229																																																	
2230																																																	
2231																																																	
2232																																																	
2233																																																	
2234																																																	
2235																																																	
2236																																																	
2237																																																	
